コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1301,20-Mar,29.4,263000000000.0,2918000000,70,37.31,1.0,9.0
1332,20-Mar,31.2,690000000000.0,22834000000,8.5,16.87,0.0,6.0
1333,20-Mar,25.1,905000000000.0,17079000000,40,16.79,0.0,1.0
1352,20-Mar,15.9,80492000000.0,839000000,20,36.78,0.0,9.0
1376,20-May,43.6,58179890000.0,1487470000,28,29.28,1.0,2.0
1377,20-May,82.2,61667000000.0,7482000000,33,24.17,5.0,5.0
1379,20-Mar,50.2,71220000000.0,3923000000,60,124.1,0.0,4.0
1380,20-Mar,34.1,5790005000.0,94446000,5,29.02,0.0,9.0
1381,20-Jun,85.7,19770000000.0,2736000000,85,22.76,5.0,9.0
1382,20-Jun,48.3,3230299000.0,24429000,-,0,0.0,3.0
1383,20-Oct,19.5,5197096000.0,-124479000,10,-,0.0,7.0
1384,20-Mar,60.8,13416235000.0,139967000,10,37.92,0.0,0.0
1401,20-May,71.7,3345618000.0,283859000,-,-,0.0,6.0
1407,20-Aug,24.7,61947000000.0,7180000000,45,24.9,0.0,0.0
1414,20-Jun,81.4,67590000000.0,12930000000,79.5,46.32,9.0,9.0
1417,20-Mar,61.2,441000000000.0,21993000000,40,26.03,0.0,9.0
1418,20-Feb,36.5,19053081000.0,355703000,4,73.9,0.0,9.0
1419,20-May,20.8,209000000000.0,9873000000,70,22.35,3.0,4.0
1420,20-Mar,28.5,56351143000.0,412628000,25,87.85,1.0,6.0
1430,20-May,33.9,23418849000.0,1342949000,20,58.19,0.0,4.0
1431,20-Jun,57.1,6036233000.0,144545000,9,67.26,0.0,0.0
1433,20-Jan,51.4,3436154000.0,93191000,16,219.5,1.0,3.0
1434,20-Aug,33.8,8993284000.0,340830000,15,22.96,3.0,3.0
1436,20-Apr,56.5,4735252000.0,157880000,10,54.15,0.0,0.0
1443,20-Mar,63.9,10008698000.0,1182701000,1,2.47,0.0,1.0
1446,20-Sep,40.4,12264654000.0,421981000,6,32.36,0.0,0.0
1447,20-Mar,18.5,21224761000.0,155826000,-,-,0.0,0.0
1448,20-Mar,30.9,85481000000.0,2483000000,15,92.08,0.0,0.0
1450,20-Mar,75.6,6662518000.0,796263000,40,31.54,0.0,0.0
1451,20-Mar,38.1,11805988000.0,670574000,44,56.14,1.0,1.0
1491,20-Mar,82.4,28517805000.0,-813478000,-,-,0.0,9.0
1514,20-Mar,89.4,16679000000.0,21000000,3,17.34,0.0,9.0
1515,20-Mar,57.5,118000000000.0,7576000000,90,20.25,0.0,0.0
1518,20-Mar,52.3,66596000000.0,2741000000,50,28.49,1.0,5.0
1662,20-Mar,64.2,319000000000.0,14283000000,50,11.72,2.0,2.0
1711,20-Mar,2.6,2273085000.0,-167198000,-,-,,
1712,20-Feb,57.3,14048000000.0,1237394000,6,14.87,0.0,9.0
1716,20-Jun,77.1,17440076000.0,2296950000,25,7.53,0.0,0.0
1717,20-Mar,73.5,4353631000.0,902962000,21.5,39.33,6.0,9.0
1719,20-Mar,40,378000000000.0,24699000000,30,35.73,7.0,7.0
1720,20-Mar,42.9,322000000000.0,20315000000,30,21.48,0.0,1.0
1721,20-Mar,68.3,561000000000.0,38953000000,75,32.1,6.0,9.0
1723,20-Mar,62,31298715000.0,4425170000,119,23.63,5.0,8.0
1726,20-Mar,25.6,34775000000.0,2158000000,9,23.29,3.0,3.0
1728,20-Mar,32.6,26387579000.0,127657000,5,61.2,0.0,9.0
